MWG;NWG;KWG;MDIMC;NDIMC;MDIMA;NDIMB;KWI;VWM;VWN;STRM;STRN;SA;SB;Run1 (ms)
16;16;16;8;8;8;8;2;2;2;1;0;1;1;52,21
16;16;16;8;8;8;8;2;2;2;1;1;0;0;61,69
16;16;16;8;8;8;8;2;2;2;1;1;0;1;56,89
16;16;16;8;8;8;8;2;2;2;1;1;1;0;53,33
16;16;16;8;8;8;8;2;2;2;1;1;1;1;53,02
16;16;16;8;8;8;8;8;1;1;0;0;0;0;89,68
16;16;16;8;8;8;8;8;1;1;0;0;0;1;80,67
16;16;16;8;8;8;8;8;1;1;0;0;1;0;81,19
16;16;16;8;8;8;8;8;1;1;0;0;1;1;86,26
16;16;16;8;8;8;8;8;1;1;0;1;0;0;90,01
16;16;16;8;8;8;8;8;1;1;0;1;0;1;83,31
16;16;16;8;8;8;8;8;1;1;0;1;1;0;81,05
16;16;16;8;8;8;8;8;1;1;0;1;1;1;95,1
16;16;16;8;8;8;8;8;1;1;1;0;0;0;90,6
16;16;16;8;8;8;8;8;1;1;1;0;0;1;86,58
16;16;16;8;8;8;8;8;1;1;1;0;1;0;84,68
16;16;16;8;8;8;8;8;1;1;1;0;1;1;87,22
16;16;16;8;8;8;8;8;1;1;1;1;0;0;95,81
16;16;16;8;8;8;8;8;1;1;1;1;0;1;92,78
16;16;16;8;8;8;8;8;1;1;1;1;1;0;84,57
16;16;16;8;8;8;8;8;1;1;1;1;1;1;105,56
16;16;16;8;8;8;8;8;1;2;0;0;0;0;71,91
16;16;16;8;8;8;8;8;1;2;0;0;0;1;65
16;16;16;8;8;8;8;8;1;2;0;0;1;0;70,5
16;16;16;8;8;8;8;8;1;2;0;0;1;1;63,1
16;16;16;8;8;8;8;8;1;2;0;1;0;0;72,82
16;16;16;8;8;8;8;8;1;2;0;1;0;1;66,21
16;16;16;8;8;8;8;8;1;2;0;1;1;0;70,06
16;16;16;8;8;8;8;8;1;2;0;1;1;1;62,41
16;16;16;8;8;8;8;8;1;2;1;0;0;0;74,3
16;16;16;8;8;8;8;8;1;2;1;0;0;1;70,68
16;16;16;8;8;8;8;8;1;2;1;0;1;0;73,19
16;16;16;8;8;8;8;8;1;2;1;0;1;1;75,27
16;16;16;8;8;8;8;8;1;2;1;1;0;0;75,64
16;16;16;8;8;8;8;8;1;2;1;1;0;1;69,76
16;16;16;8;8;8;8;8;1;2;1;1;1;0;74,45
16;16;16;8;8;8;8;8;1;2;1;1;1;1;76,34
16;16;16;8;8;8;8;8;2;1;0;0;0;0;70,83
16;16;16;8;8;8;8;8;2;1;0;0;0;1;68,68
16;16;16;8;8;8;8;8;2;1;0;0;1;0;64,97
16;16;16;8;8;8;8;8;2;1;0;0;1;1;62,07
16;16;16;8;8;8;8;8;2;1;0;1;0;0;71,44
16;16;16;8;8;8;8;8;2;1;0;1;0;1;72,57
16;16;16;8;8;8;8;8;2;1;0;1;1;0;61,74
16;16;16;8;8;8;8;8;2;1;0;1;1;1;73,26
16;16;16;8;8;8;8;8;2;1;1;0;0;0;71,72
16;16;16;8;8;8;8;8;2;1;1;0;0;1;71,44
16;16;16;8;8;8;8;8;2;1;1;0;1;0;65,34
16;16;16;8;8;8;8;8;2;1;1;0;1;1;62,51
16;16;16;8;8;8;8;8;2;1;1;1;0;0;71,85
16;16;16;8;8;8;8;8;2;1;1;1;0;1;74,17
16;16;16;8;8;8;8;8;2;1;1;1;1;0;62,99
16;16;16;8;8;8;8;8;2;1;1;1;1;1;71,25
16;16;16;8;8;8;8;8;2;2;0;0;0;0;58,11
16;16;16;8;8;8;8;8;2;2;0;0;0;1;55,01
16;16;16;8;8;8;8;8;2;2;0;0;1;0;51,63
16;16;16;8;8;8;8;8;2;2;0;0;1;1;52,88
16;16;16;8;8;8;8;8;2;2;0;1;0;0;59,02
16;16;16;8;8;8;8;8;2;2;0;1;0;1;56,04
16;16;16;8;8;8;8;8;2;2;0;1;1;0;53,23
16;16;16;8;8;8;8;8;2;2;0;1;1;1;54,4
16;16;16;8;8;8;8;8;2;2;1;0;0;0;59,24
16;16;16;8;8;8;8;8;2;2;1;0;0;1;57,62
16;16;16;8;8;8;8;8;2;2;1;0;1;0;52,48
16;16;16;8;8;8;8;8;2;2;1;0;1;1;54,16
16;16;16;8;8;8;8;8;2;2;1;1;0;0;57,73
16;16;16;8;8;8;8;8;2;2;1;1;0;1;57,58
16;16;16;8;8;8;8;8;2;2;1;1;1;0;53,15
16;16;16;8;8;8;8;8;2;2;1;1;1;1;54,39
16;16;16;8;8;8;16;2;1;1;0;0;0;0;115,08
16;16;16;8;8;8;16;2;1;1;0;0;0;1;72,24
16;16;16;8;8;8;16;2;1;1;0;0;1;0;80,66
16;16;16;8;8;8;16;2;1;1;0;0;1;1;72,69
16;16;16;8;8;8;16;2;1;1;0;1;0;0;114,36
16;16;16;8;8;8;16;2;1;1;0;1;0;1;71,12
16;16;16;8;8;8;16;2;1;1;0;1;1;0;82,97
16;16;16;8;8;8;16;2;1;1;0;1;1;1;72,97
16;16;16;8;8;8;16;2;1;1;1;0;0;0;117,61
16;16;16;8;8;8;16;2;1;1;1;0;0;1;80,1
16;16;16;8;8;8;16;2;1;1;1;0;1;0;84,63
16;16;16;8;8;8;16;2;1;1;1;0;1;1;80,45
16;16;16;8;8;8;16;2;1;1;1;1;0;0;118,16
16;16;16;8;8;8;16;2;1;1;1;1;0;1;79,79
16;16;16;8;8;8;16;2;1;1;1;1;1;0;86,84
16;16;16;8;8;8;16;2;1;1;1;1;1;1;80,48
16;16;16;8;8;8;16;2;2;1;0;0;0;0;73,43
16;16;16;8;8;8;16;2;2;1;0;0;0;1;68,41
16;16;16;8;8;8;16;2;2;1;0;0;1;0;62,73
16;16;16;8;8;8;16;2;2;1;0;0;1;1;53,53
16;16;16;8;8;8;16;2;2;1;0;1;0;0;74,33
16;16;16;8;8;8;16;2;2;1;0;1;0;1;67,58
16;16;16;8;8;8;16;2;2;1;0;1;1;0;64,1
16;16;16;8;8;8;16;2;2;1;0;1;1;1;57
16;16;16;8;8;8;16;2;2;1;1;0;0;0;73,59
16;16;16;8;8;8;16;2;2;1;1;0;0;1;65,65
16;16;16;8;8;8;16;2;2;1;1;0;1;0;62,2
16;16;16;8;8;8;16;2;2;1;1;0;1;1;53,95
16;16;16;8;8;8;16;2;2;1;1;1;0;0;75,95
16;16;16;8;8;8;16;2;2;1;1;1;0;1;64,02
16;16;16;8;8;8;16;2;2;1;1;1;1;0;64,8
16;16;16;8;8;8;16;2;2;1;1;1;1;1;57,03
16;16;16;8;8;8;16;8;1;1;0;0;0;0;89,67
16;16;16;8;8;8;16;8;1;1;0;0;0;1;73,87
16;16;16;8;8;8;16;8;1;1;0;0;1;0;82,03
16;16;16;8;8;8;16;8;1;1;0;0;1;1;73,53
16;16;16;8;8;8;16;8;1;1;0;1;0;0;90,5
16;16;16;8;8;8;16;8;1;1;0;1;0;1;75,37
16;16;16;8;8;8;16;8;1;1;0;1;1;0;82,18
16;16;16;8;8;8;16;8;1;1;0;1;1;1;72,84
16;16;16;8;8;8;16;8;1;1;1;0;0;0;91,85
16;16;16;8;8;8;16;8;1;1;1;0;0;1;81,17
16;16;16;8;8;8;16;8;1;1;1;0;1;0;85,86
16;16;16;8;8;8;16;8;1;1;1;0;1;1;80,58
16;16;16;8;8;8;16;8;1;1;1;1;0;0;95,5
16;16;16;8;8;8;16;8;1;1;1;1;0;1;81,65
16;16;16;8;8;8;16;8;1;1;1;1;1;0;85,71
16;16;16;8;8;8;16;8;1;1;1;1;1;1;80,46
16;16;16;8;8;8;16;8;2;1;0;0;0;0;72,02
16;16;16;8;8;8;16;8;2;1;0;0;0;1;65,62
16;16;16;8;8;8;16;8;2;1;0;0;1;0;64,86
16;16;16;8;8;8;16;8;2;1;0;0;1;1;52,83
16;16;16;8;8;8;16;8;2;1;0;1;0;0;71,61
16;16;16;8;8;8;16;8;2;1;0;1;0;1;66,86
16;16;16;8;8;8;16;8;2;1;0;1;1;0;62,05
16;16;16;8;8;8;16;8;2;1;0;1;1;1;57,03
16;16;16;8;8;8;16;8;2;1;1;0;0;0;71,74
16;16;16;8;8;8;16;8;2;1;1;0;0;1;65,15
16;16;16;8;8;8;16;8;2;1;1;0;1;0;64,77
16;16;16;8;8;8;16;8;2;1;1;0;1;1;53,58
16;16;16;8;8;8;16;8;2;1;1;1;0;0;71,77
16;16;16;8;8;8;16;8;2;1;1;1;0;1;67,54
16;16;16;8;8;8;16;8;2;1;1;1;1;0;62,99
16;16;16;8;8;8;16;8;2;1;1;1;1;1;57,08
16;16;16;8;8;16;8;2;1;1;0;0;0;0;115,11
16;16;16;8;8;16;8;2;1;1;0;0;0;1;79,21
16;16;16;8;8;16;8;2;1;1;0;0;1;0;72,7
16;16;16;8;8;16;8;2;1;1;0;0;1;1;75,59
16;16;16;8;8;16;8;2;1;1;0;1;0;0;114,18
16;16;16;8;8;16;8;2;1;1;0;1;0;1;81,72
16;16;16;8;8;16;8;2;1;1;0;1;1;0;74,69
16;16;16;8;8;16;8;2;1;1;0;1;1;1;83,16
16;16;16;8;8;16;8;2;1;1;1;0;0;0;117,08
16;16;16;8;8;16;8;2;1;1;1;0;0;1;86,74
16;16;16;8;8;16;8;2;1;1;1;0;1;0;72,92
16;16;16;8;8;16;8;2;1;1;1;0;1;1;74,44
16;16;16;8;8;16;8;2;1;1;1;1;0;0;117,83
16;16;16;8;8;16;8;2;1;1;1;1;0;1;93,26
16;16;16;8;8;16;8;2;1;1;1;1;1;0;74,23
16;16;16;8;8;16;8;2;1;1;1;1;1;1;81,72
16;16;16;8;8;16;8;2;1;2;0;0;0;0;77,75
16;16;16;8;8;16;8;2;1;2;0;0;0;1;65,32
16;16;16;8;8;16;8;2;1;2;0;0;1;0;66,02
16;16;16;8;8;16;8;2;1;2;0;0;1;1;58,66
16;16;16;8;8;16;8;2;1;2;0;1;0;0;77,81
16;16;16;8;8;16;8;2;1;2;0;1;0;1;65,86
16;16;16;8;8;16;8;2;1;2;0;1;1;0;64,16
16;16;16;8;8;16;8;2;1;2;0;1;1;1;58,42
16;16;16;8;8;16;8;2;1;2;1;0;0;0;79,96
16;16;16;8;8;16;8;2;1;2;1;0;0;1;69,73
16;16;16;8;8;16;8;2;1;2;1;0;1;0;69,09
16;16;16;8;8;16;8;2;1;2;1;0;1;1;57,85
16;16;16;8;8;16;8;2;1;2;1;1;0;0;79,94
16;16;16;8;8;16;8;2;1;2;1;1;0;1;70,34
16;16;16;8;8;16;8;2;1;2;1;1;1;0;67,71
16;16;16;8;8;16;8;2;1;2;1;1;1;1;60,52
16;16;16;8;8;16;8;8;1;1;0;0;0;0;96,32
16;16;16;8;8;16;8;8;1;1;0;0;0;1;85,88
16;16;16;8;8;16;8;8;1;1;0;0;1;0;78,99
16;16;16;8;8;16;8;8;1;1;0;0;1;1;80,11
16;16;16;8;8;16;8;8;1;1;0;1;0;0;96,04
16;16;16;8;8;16;8;8;1;1;0;1;0;1;88,28
16;16;16;8;8;16;8;8;1;1;0;1;1;0;81,2
16;16;16;8;8;16;8;8;1;1;0;1;1;1;85,61
16;16;16;8;8;16;8;8;1;1;1;0;0;0;98,95
16;16;16;8;8;16;8;8;1;1;1;0;0;1;91,69
16;16;16;8;8;16;8;8;1;1;1;0;1;0;81,02
16;16;16;8;8;16;8;8;1;1;1;0;1;1;79,11
16;16;16;8;8;16;8;8;1;1;1;1;0;0;99,92
16;16;16;8;8;16;8;8;1;1;1;1;0;1;97,51
16;16;16;8;8;16;8;8;1;1;1;1;1;0;76,01
16;16;16;8;8;16;8;8;1;1;1;1;1;1;82,75
16;16;16;8;8;16;8;8;1;2;0;0;0;0;74,33
16;16;16;8;8;16;8;8;1;2;0;0;0;1;67,45
16;16;16;8;8;16;8;8;1;2;0;0;1;0;67,48
16;16;16;8;8;16;8;8;1;2;0;0;1;1;59
16;16;16;8;8;16;8;8;1;2;0;1;0;0;74,55
16;16;16;8;8;16;8;8;1;2;0;1;0;1;67,16
16;16;16;8;8;16;8;8;1;2;0;1;1;0;67,39
16;16;16;8;8;16;8;8;1;2;0;1;1;1;58,9
16;16;16;8;8;16;8;8;1;2;1;0;0;0;77,19
16;16;16;8;8;16;8;8;1;2;1;0;0;1;71,67
16;16;16;8;8;16;8;8;1;2;1;0;1;0;70,58
16;16;16;8;8;16;8;8;1;2;1;0;1;1;59,15
16;16;16;8;8;16;8;8;1;2;1;1;0;0;77,02
16;16;16;8;8;16;8;8;1;2;1;1;0;1;70,88
16;16;16;8;8;16;8;8;1;2;1;1;1;0;69,49
16;16;16;8;8;16;8;8;1;2;1;1;1;1;59,12
16;16;16;8;8;16;16;2;1;1;0;0;0;0;117,74
16;16;16;8;8;16;16;2;1;1;0;0;0;1;72,09
16;16;16;8;8;16;16;2;1;1;0;0;1;0;72,99
16;16;16;8;8;16;16;2;1;1;0;0;1;1;66,11
16;16;16;8;8;16;16;2;1;1;0;1;0;0;114,08
16;16;16;8;8;16;16;2;1;1;0;1;0;1;72,15
16;16;16;8;8;16;16;2;1;1;0;1;1;0;74,68
16;16;16;8;8;16;16;2;1;1;0;1;1;1;67,07
16;16;16;8;8;16;16;2;1;1;1;0;0;0;116,39
16;16;16;8;8;16;16;2;1;1;1;0;0;1;79,49
16;16;16;8;8;16;16;2;1;1;1;0;1;0;72,91
16;16;16;8;8;16;16;2;1;1;1;0;1;1;66,97
16;16;16;8;8;16;16;2;1;1;1;1;0;0;118,27
16;16;16;8;8;16;16;2;1;1;1;1;0;1;78,13
16;16;16;8;8;16;16;2;1;1;1;1;1;0;74,37
16;16;16;8;8;16;16;2;1;1;1;1;1;1;66,72
16;16;16;8;8;16;16;8;1;1;0;0;0;0;89,69
16;16;16;8;8;16;16;8;1;1;0;0;0;1;73,85
16;16;16;8;8;16;16;8;1;1;0;0;1;0;74,18
16;16;16;8;8;16;16;8;1;1;0;0;1;1;66,34
16;16;16;8;8;16;16;8;1;1;0;1;0;0;89,97
16;16;16;8;8;16;16;8;1;1;0;1;0;1;75,27
16;16;16;8;8;16;16;8;1;1;0;1;1;0;74,77
16;16;16;8;8;16;16;8;1;1;0;1;1;1;66,48
16;16;16;8;8;16;16;8;1;1;1;0;0;0;91,98
16;16;16;8;8;16;16;8;1;1;1;0;0;1;82,25
16;16;16;8;8;16;16;8;1;1;1;0;1;0;76,01
16;16;16;8;8;16;16;8;1;1;1;0;1;1;66,65
16;16;16;8;8;16;16;8;1;1;1;1;0;0;95,82
16;16;16;8;8;16;16;8;1;1;1;1;0;1;81,56
16;16;16;8;8;16;16;8;1;1;1;1;1;0;75,09
16;16;16;8;8;16;16;8;1;1;1;1;1;1;66,7
16;16;16;8;16;8;8;2;1;1;0;0;0;0;131
16;16;16;8;16;8;8;2;1;1;0;0;0;1;118,16
16;16;16;8;16;8;8;2;1;1;0;0;1;0;94,84
16;16;16;8;16;8;8;2;1;1;0;0;1;1;92,91
16;16;16;8;16;8;8;2;1;1;0;1;0;0;130,99
16;16;16;8;16;8;8;2;1;1;0;1;0;1;119,77
16;16;16;8;16;8;8;2;1;1;0;1;1;0;94,87
16;16;16;8;16;8;8;2;1;1;0;1;1;1;96,45
16;16;16;8;16;8;8;2;1;1;1;0;0;0;138,76
16;16;16;8;16;8;8;2;1;1;1;0;0;1;124,45
16;16;16;8;16;8;8;2;1;1;1;0;1;0;95,23
16;16;16;8;16;8;8;2;1;1;1;0;1;1;96,2
16;16;16;8;16;8;8;2;1;1;1;1;0;0;138,76
16;16;16;8;16;8;8;2;1;1;1;1;0;1;126,09
16;16;16;8;16;8;8;2;1;1;1;1;1;0;95,26
16;16;16;8;16;8;8;2;1;1;1;1;1;1;103,9
16;16;16;8;16;8;8;2;2;1;0;0;0;0;111,91
16;16;16;8;16;8;8;2;2;1;0;0;0;1;94,72
16;16;16;8;16;8;8;2;2;1;0;0;1;0;70,78
16;16;16;8;16;8;8;2;2;1;0;0;1;1;68,11
16;16;16;8;16;8;8;2;2;1;0;1;0;0;112,13
16;16;16;8;16;8;8;2;2;1;0;1;0;1;95,98
16;16;16;8;16;8;8;2;2;1;0;1;1;0;70,59
16;16;16;8;16;8;8;2;2;1;0;1;1;1;70,56
16;16;16;8;16;8;8;2;2;1;1;0;0;0;112,01
16;16;16;8;16;8;8;2;2;1;1;0;0;1;94,37
16;16;16;8;16;8;8;2;2;1;1;0;1;0;70,74
16;16;16;8;16;8;8;2;2;1;1;0;1;1;68,07
16;16;16;8;16;8;8;2;2;1;1;1;0;0;112,22
16;16;16;8;16;8;8;2;2;1;1;1;0;1;96,44
16;16;16;8;16;8;8;2;2;1;1;1;1;0;70,77
16;16;16;8;16;8;8;2;2;1;1;1;1;1;70,59
16;16;16;8;16;8;8;8;1;1;0;0;0;0;135,39
16;16;16;8;16;8;8;8;1;1;0;0;0;1;118,21
16;16;16;8;16;8;8;8;1;1;0;0;1;0;94,83
16;16;16;8;16;8;8;8;1;1;0;0;1;1;93,64
16;16;16;8;16;8;8;8;1;1;0;1;0;0;135,5
16;16;16;8;16;8;8;8;1;1;0;1;0;1;119,76
16;16;16;8;16;8;8;8;1;1;0;1;1;0;93,81
16;16;16;8;16;8;8;8;1;1;0;1;1;1;96,52
16;16;16;8;16;8;8;8;1;1;1;0;0;0;140,95
16;16;16;8;16;8;8;8;1;1;1;0;0;1;123,33
16;16;16;8;16;8;8;8;1;1;1;0;1;0;95,2
16;16;16;8;16;8;8;8;1;1;1;0;1;1;96,23
16;16;16;8;16;8;8;8;1;1;1;1;0;0;141,06
16;16;16;8;16;8;8;8;1;1;1;1;0;1;126,25
16;16;16;8;16;8;8;8;1;1;1;1;1;0;95,25
16;16;16;8;16;8;8;8;1;1;1;1;1;1;103,87
16;16;16;8;16;8;8;8;2;1;0;0;0;0;109,11
16;16;16;8;16;8;8;8;2;1;0;0;0;1;94,44
16;16;16;8;16;8;8;8;2;1;0;0;1;0;69,54
16;16;16;8;16;8;8;8;2;1;0;0;1;1;68,06
16;16;16;8;16;8;8;8;2;1;0;1;0;0;109,37
16;16;16;8;16;8;8;8;2;1;0;1;0;1;94,39
16;16;16;8;16;8;8;8;2;1;0;1;1;0;69,63
16;16;16;8;16;8;8;8;2;1;0;1;1;1;70,55
16;16;16;8;16;8;8;8;2;1;1;0;0;0;109,23
16;16;16;8;16;8;8;8;2;1;1;0;0;1;94,16
16;16;16;8;16;8;8;8;2;1;1;0;1;0;69,6
16;16;16;8;16;8;8;8;2;1;1;0;1;1;68,04
16;16;16;8;16;8;8;8;2;1;1;1;0;0;108,12
16;16;16;8;16;8;8;8;2;1;1;1;0;1;95,54
16;16;16;8;16;8;8;8;2;1;1;1;1;0;69,67
16;16;16;8;16;8;8;8;2;1;1;1;1;1;70,54
16;16;16;8;16;8;16;2;1;1;0;0;0;0;131,29
16;16;16;8;16;8;16;2;1;1;0;0;0;1;110,68
16;16;16;8;16;8;16;2;1;1;0;0;1;0;94,86
16;16;16;8;16;8;16;2;1;1;0;0;1;1;85,09
16;16;16;8;16;8;16;2;1;1;0;1;0;0;131,03
16;16;16;8;16;8;16;2;1;1;0;1;0;1;110,65
16;16;16;8;16;8;16;2;1;1;0;1;1;0;94,83
16;16;16;8;16;8;16;2;1;1;0;1;1;1;85,13
16;16;16;8;16;8;16;2;1;1;1;0;0;0;138,93
16;16;16;8;16;8;16;2;1;1;1;0;0;1;116,94
16;16;16;8;16;8;16;2;1;1;1;0;1;0;95,28
16;16;16;8;16;8;16;2;1;1;1;0;1;1;87,97
16;16;16;8;16;8;16;2;1;1;1;1;0;0;138,9
16;16;16;8;16;8;16;2;1;1;1;1;0;1;116,96
16;16;16;8;16;8;16;2;1;1;1;1;1;0;95,23
16;16;16;8;16;8;16;2;1;1;1;1;1;1;87,96
16;16;16;8;16;8;16;2;2;1;0;0;0;0;112,33
16;16;16;8;16;8;16;2;2;1;0;0;0;1;87
16;16;16;8;16;8;16;2;2;1;0;0;1;0;70,71
16;16;16;8;16;8;16;2;2;1;0;0;1;1;61,08
16;16;16;8;16;8;16;2;2;1;0;1;0;0;112,11
16;16;16;8;16;8;16;2;2;1;0;1;0;1;87,01
16;16;16;8;16;8;16;2;2;1;0;1;1;0;70,69
16;16;16;8;16;8;16;2;2;1;0;1;1;1;61,12
16;16;16;8;16;8;16;2;2;1;1;0;0;0;111,89
16;16;16;8;16;8;16;2;2;1;1;0;0;1;87,14
16;16;16;8;16;8;16;2;2;1;1;0;1;0;70,82
16;16;16;8;16;8;16;2;2;1;1;0;1;1;61,11
16;16;16;8;16;8;16;2;2;1;1;1;0;0;112,11
16;16;16;8;16;8;16;2;2;1;1;1;0;1;87,15
16;16;16;8;16;8;16;2;2;1;1;1;1;0;70,73
16;16;16;8;16;8;16;2;2;1;1;1;1;1;61,04
16;16;16;8;16;8;16;8;1;1;0;0;0;0;135,34
16;16;16;8;16;8;16;8;1;1;0;0;0;1;110,67
16;16;16;8;16;8;16;8;1;1;0;0;1;0;94,76
16;16;16;8;16;8;16;8;1;1;0;0;1;1;85,13
16;16;16;8;16;8;16;8;1;1;0;1;0;0;135,6
16;16;16;8;16;8;16;8;1;1;0;1;0;1;110,67
16;16;16;8;16;8;16;8;1;1;0;1;1;0;94,91
16;16;16;8;16;8;16;8;1;1;0;1;1;1;85,13
16;16;16;8;16;8;16;8;1;1;1;0;0;0;140,94
16;16;16;8;16;8;16;8;1;1;1;0;0;1;116,98
16;16;16;8;16;8;16;8;1;1;1;0;1;0;95,24
16;16;16;8;16;8;16;8;1;1;1;0;1;1;87,96
16;16;16;8;16;8;16;8;1;1;1;1;0;0;140,85
16;16;16;8;16;8;16;8;1;1;1;1;0;1;116,88
16;16;16;8;16;8;16;8;1;1;1;1;1;0;95,21
16;16;16;8;16;8;16;8;1;1;1;1;1;1;87,95
16;16;16;8;16;8;16;8;2;1;0;0;0;0;109,21
16;16;16;8;16;8;16;8;2;1;0;0;0;1;84,4
16;16;16;8;16;8;16;8;2;1;0;0;1;0;69,6
16;16;16;8;16;8;16;8;2;1;0;0;1;1;61,12
16;16;16;8;16;8;16;8;2;1;0;1;0;0;109,24
16;16;16;8;16;8;16;8;2;1;0;1;0;1;84,39
16;16;16;8;16;8;16;8;2;1;0;1;1;0;69,6
16;16;16;8;16;8;16;8;2;1;0;1;1;1;61,04
16;16;16;8;16;8;16;8;2;1;1;0;0;0;109,32
16;16;16;8;16;8;16;8;2;1;1;0;0;1;84,15
16;16;16;8;16;8;16;8;2;1;1;0;1;0;69,77
16;16;16;8;16;8;16;8;2;1;1;0;1;1;61,09
16;16;16;8;16;8;16;8;2;1;1;1;0;0;109,19
16;16;16;8;16;8;16;8;2;1;1;1;0;1;84,18
16;16;16;8;16;8;16;8;2;1;1;1;1;0;69,56
16;16;16;8;16;8;16;8;2;1;1;1;1;1;61,04
16;16;16;8;16;16;8;2;1;1;0;0;0;0;131,07
16;16;16;8;16;16;8;2;1;1;0;0;0;1;118,12
16;16;16;8;16;16;8;2;1;1;0;0;1;0;85,63
16;16;16;8;16;16;8;2;1;1;0;0;1;1;84,58
16;16;16;8;16;16;8;2;1;1;0;1;0;0;131,15
16;16;16;8;16;16;8;2;1;1;0;1;0;1;119,81
16;16;16;8;16;16;8;2;1;1;0;1;1;0;87,7
16;16;16;8;16;16;8;2;1;1;0;1;1;1;87,88
16;16;16;8;16;16;8;2;1;1;1;0;0;0;138,84
16;16;16;8;16;16;8;2;1;1;1;0;0;1;124,32
16;16;16;8;16;16;8;2;1;1;1;0;1;0;87,15
16;16;16;8;16;16;8;2;1;1;1;0;1;1;84,81
16;16;16;8;16;16;8;2;1;1;1;1;0;0;138,84
16;16;16;8;16;16;8;2;1;1;1;1;0;1;126,06
16;16;16;8;16;16;8;2;1;1;1;1;1;0;87,18
16;16;16;8;16;16;8;2;1;1;1;1;1;1;88,23
16;16;16;8;16;16;8;8;1;1;0;0;0;0;134,59
