MWG;NWG;KWG;MDIMC;NDIMC;MDIMA;NDIMB;KWI;VWM;VWN;STRM;STRN;SA;SB;Run1 (ms);Run2 (ms);Run3 (ms);Run4 (ms)
128;64;32;16;8;32;8;2;1;1;0;1;1;1;152,61;151,92;152,75;150,96
128;64;32;16;8;32;8;2;1;1;1;0;0;0;271,68;273,06;272,55;272,68
128;64;32;16;8;32;8;2;1;1;1;0;0;1;174,58;167,81;167,99;167,65
128;64;32;16;8;32;8;2;1;1;1;0;1;0;210,08;207,21;208,41;210,54
128;64;32;16;8;32;8;2;1;1;1;0;1;1;206,97;207,39;207,3;207,4
128;64;32;16;8;32;8;2;1;1;1;1;0;0;287,04;287,97;288,21;288,26
128;64;32;16;8;32;8;2;1;1;1;1;0;1;148,32;143,96;144,76;142,42
128;64;32;16;8;32;8;2;1;1;1;1;1;0;205,23;205,36;205,35;205,35
128;64;32;16;8;32;8;2;1;1;1;1;1;1;152,76;151,77;153,63;153,41
128;64;32;16;8;32;8;2;1;2;0;0;0;0;263,39;265,35;265,16;265,58
128;64;32;16;8;32;8;2;1;2;0;0;0;1;230,83;220,59;220,34;220,24
128;64;32;16;8;32;8;2;1;2;0;0;1;0;245,72;246,08;245,88;245,92
128;64;32;16;8;32;8;2;1;2;0;0;1;1;218,27;218,82;218,54;218,85
128;64;32;16;8;32;8;2;1;2;0;1;0;0;271,17;272,74;273,33;273,15
128;64;32;16;8;32;8;2;1;2;0;1;0;1;209,27;196,81;197,18;197,08
128;64;32;16;8;32;8;2;1;2;0;1;1;0;251,05;251,37;251,15;251,21
128;64;32;16;8;32;8;2;1;2;0;1;1;1;189,1;188,4;189,1;188,86
128;64;32;16;8;32;8;2;1;2;1;0;0;0;263,31;264,35;264,73;264,52
128;64;32;16;8;32;8;2;1;2;1;0;0;1;215,29;203,72;203,07;202,87
128;64;32;16;8;32;8;2;1;2;1;0;1;0;263,35;263,79;263,4;264,39
128;64;32;16;8;32;8;2;1;2;1;0;1;1;279,21;279,35;279,38;279,17
128;64;32;16;8;32;8;2;1;2;1;1;0;0;270,77;271,44;271,5;271,72
128;64;32;16;8;32;8;2;1;2;1;1;0;1;197,2;184,22;183,8;183,89
128;64;32;16;8;32;8;2;1;2;1;1;1;0;261,8;262,01;261,86;261,87
128;64;32;16;8;32;8;2;1;2;1;1;1;1;246,12;245,75;244,84;245,04
128;64;32;16;8;32;8;2;1;4;0;0;0;0;276,14;280,17;280,4;279,97
128;64;32;16;8;32;8;2;1;4;0;0;0;1;219,5;213,36;213,88;213,63
128;64;32;16;8;32;8;2;1;4;0;0;1;0;167,03;169,42;167,06;169,89
128;64;32;16;8;32;8;2;1;4;0;0;1;1;310,04;309,79;309,95;309,94
128;64;32;16;8;32;8;2;1;4;0;1;0;0;279,13;282,61;282,11;282,75
128;64;32;16;8;32;8;2;1;4;0;1;0;1;216,26;210,87;210,81;210,47
128;64;32;16;8;32;8;2;1;4;0;1;1;0;167,92;163,96;163,86;164,75
128;64;32;16;8;32;8;2;1;4;0;1;1;1;256,23;256,07;256,31;256,33
128;64;32;16;8;32;8;2;1;4;1;0;0;0;277,72;281,18;281,15;281,17
128;64;32;16;8;32;8;2;1;4;1;0;0;1;199,69;191,86;191,57;191,72
128;64;32;16;8;32;8;2;1;4;1;0;1;0;263,54;263,26;263,51;263,24
128;64;32;16;8;32;8;2;1;4;1;0;1;1;255,47;255,61;255,61;255,52
128;64;32;16;8;32;8;2;1;4;1;1;0;0;282,51;285,24;285,53;285,33
128;64;32;16;8;32;8;2;1;4;1;1;0;1;203,48;196,7;196,78;196,78
128;64;32;16;8;32;8;2;1;4;1;1;1;0;274,98;275,35;275,17;275,19
128;64;32;16;8;32;8;2;1;4;1;1;1;1;252,54;252,47;252,55;252,49
128;64;32;16;8;32;8;2;1;8;0;0;0;0;278,12;280,35;279,58;279,12
128;64;32;16;8;32;8;2;1;8;0;0;0;1;230,01;227,76;227,67;227,78
128;64;32;16;8;32;8;2;1;8;0;0;1;0;192,56;193,36;192,46;192,65
128;64;32;16;8;32;8;2;1;8;0;0;1;1;217,11;217,18;217,1;217,1
128;64;32;16;8;32;8;2;1;8;0;1;0;0;278,3;279,75;279,9;279,23
128;64;32;16;8;32;8;2;1;8;0;1;0;1;230,64;227,63;227,72;227,43
128;64;32;16;8;32;8;2;1;8;0;1;1;0;199,47;201,54;199,25;199,37
128;64;32;16;8;32;8;2;1;8;0;1;1;1;216,98;217,18;217,05;217,11
128;64;32;16;8;32;8;2;1;8;1;0;0;0;276,44;277,51;276,72;276,65
128;64;32;16;8;32;8;2;1;8;1;0;0;1;222,76;220,17;220;220,11
128;64;32;16;8;32;8;2;1;8;1;0;1;0;205,15;207,59;205,24;206,38
128;64;32;16;8;32;8;2;1;8;1;0;1;1;203,21;202,69;202,66;203,19
128;64;32;16;8;32;8;2;1;8;1;1;0;0;276,2;276,55;276,47;276,42
128;64;32;16;8;32;8;2;1;8;1;1;0;1;222,68;220;219,71;219,95
128;64;32;16;8;32;8;2;1;8;1;1;1;0;204,9;204,81;204,79;204,79
128;64;32;16;8;32;8;2;1;8;1;1;1;1;203,36;202,65;202,58;202,66
128;64;32;16;8;32;8;2;2;1;0;0;0;0;321,87;321,9;321,7;322,06
128;64;32;16;8;32;8;2;2;1;0;0;0;1;223,08;216,93;217,74;216,97
128;64;32;16;8;32;8;2;2;1;0;0;1;0;268,47;274,15;272,69;274
128;64;32;16;8;32;8;2;2;1;0;0;1;1;333,91;333,79;333,71;333,82
128;64;32;16;8;32;8;2;2;1;0;1;0;0;338,57;337,66;337,61;337,73
128;64;32;16;8;32;8;2;2;1;0;1;0;1;256,97;256,92;256,62;256,66
128;64;32;16;8;32;8;2;2;1;0;1;1;0;275,34;281,3;280,22;283,64
128;64;32;16;8;32;8;2;2;1;0;1;1;1;224,8;226,5;224,75;225,1
128;64;32;16;8;32;8;2;2;1;1;0;0;0;318,43;320;318,93;319,24
128;64;32;16;8;32;8;2;2;1;1;0;0;1;216,36;213,39;212,81;212,47
128;64;32;16;8;32;8;2;2;1;1;0;1;0;269,83;270,23;270,15;270,16
128;64;32;16;8;32;8;2;2;1;1;0;1;1;341,28;341,29;341,22;341,19
128;64;32;16;8;32;8;2;2;1;1;1;0;0;337,46;336,67;336,75;337,53
128;64;32;16;8;32;8;2;2;1;1;1;0;1;250,94;251,2;251,33;251,29
128;64;32;16;8;32;8;2;2;1;1;1;1;0;274,16;274,69;274,75;274,67
128;64;32;16;8;32;8;2;2;1;1;1;1;1;198,84;199,01;198,95;198,72
128;64;32;16;8;32;8;2;2;2;0;0;0;0;312,7;313,79;313,35;313,93
128;64;32;16;8;32;8;2;2;2;0;0;0;1;237,22;234,88;234,62;234,53
128;64;32;16;8;32;8;2;2;2;0;0;1;0;280,89;280,48;278,14;280,65
128;64;32;16;8;32;8;2;2;2;0;0;1;1;196,8;196,71;196,76;196,72
128;64;32;16;8;32;8;2;2;2;0;1;0;0;320,73;320,46;320,06;320,68
128;64;32;16;8;32;8;2;2;2;0;1;0;1;267,79;269,77;269,66;269,6
128;64;32;16;8;32;8;2;2;2;0;1;1;0;283,28;283,18;283,14;283,06
128;64;32;16;8;32;8;2;2;2;0;1;1;1;221,55;221,59;221,59;221,58
128;64;32;16;8;32;8;2;2;2;1;0;0;0;305,8;306,38;306,72;306,42
128;64;32;16;8;32;8;2;2;2;1;0;0;1;234,88;231,49;232,24;231,88
128;64;32;16;8;32;8;2;2;2;1;0;1;0;253,32;253,67;253,63;253,64
128;64;32;16;8;32;8;2;2;2;1;0;1;1;259,03;259,02;259,04;259,05
128;64;32;16;8;32;8;2;2;2;1;1;0;0;313,86;313,96;314,03;314,03
128;64;32;16;8;32;8;2;2;2;1;1;0;1;264,62;264,87;265,05;264,37
128;64;32;16;8;32;8;2;2;2;1;1;1;0;268,71;269,27;266,64;266,62
128;64;32;16;8;32;8;2;2;2;1;1;1;1;224,97;225,04;225,04;225,05
128;64;32;16;8;32;8;2;2;4;0;0;0;0;349,32;343,8;343,48;343,34
128;64;32;16;8;32;8;2;2;4;0;0;0;1;263,15;263,18;263;263
128;64;32;16;8;32;8;2;2;4;0;0;1;0;205,85;208,37;205,17;210,19
128;64;32;16;8;32;8;2;2;4;0;0;1;1;246,66;246,64;246,65;246,64
128;64;32;16;8;32;8;2;2;4;0;1;0;0;341,65;335,96;336,04;336,18
128;64;32;16;8;32;8;2;2;4;0;1;0;1;264,23;264,76;264,57;264,69
128;64;32;16;8;32;8;2;2;4;0;1;1;0;216,26;217;218,76;216,35
128;64;32;16;8;32;8;2;2;4;0;1;1;1;244,4;244,44;244,4;244,49
128;64;32;16;8;32;8;2;2;4;1;0;0;0;343,38;340,41;340,48;340,11
128;64;32;16;8;32;8;2;2;4;1;0;0;1;269,48;267,04;266,42;267,64
128;64;32;16;8;32;8;2;2;4;1;0;1;0;316,17;316,46;316,39;316,44
128;64;32;16;8;32;8;2;2;4;1;0;1;1;236,19;236,01;236,15;236,1
128;64;32;16;8;32;8;2;2;4;1;1;0;0;338,66;335,04;335,19;335,31
128;64;32;16;8;32;8;2;2;4;1;1;0;1;266,95;264,11;263,55;263,54
128;64;32;16;8;32;8;2;2;4;1;1;1;0;315,41;315,66;315,52;315,55
128;64;32;16;8;32;8;2;2;4;1;1;1;1;241,64;241,56;241,6;241,56
128;64;32;16;8;32;8;2;2;8;0;0;0;0;295,68;302,56;302,95;302,49
128;64;32;16;8;32;8;2;2;8;0;0;0;1;269,17;268,87;268,22;268,41
128;64;32;16;8;32;8;2;2;8;0;0;1;0;200,69;203,75;203,82;200,5
128;64;32;16;8;32;8;2;2;8;0;0;1;1;197,58;197,62;197,75;197,75
128;64;32;16;8;32;8;2;2;8;0;1;0;0;295,55;303,37;302,4;302,5
128;64;32;16;8;32;8;2;2;8;0;1;0;1;268,36;268,07;268,46;268,19
128;64;32;16;8;32;8;2;2;8;0;1;1;0;220,26;222,48;220,71;222,83
128;64;32;16;8;32;8;2;2;8;0;1;1;1;197,94;197,61;197,85;197,75
128;64;32;16;8;32;8;2;2;8;1;0;0;0;281,32;286,51;286,17;286,52
128;64;32;16;8;32;8;2;2;8;1;0;0;1;270,35;271,94;272,3;271,61
128;64;32;16;8;32;8;2;2;8;1;0;1;0;218,44;219,1;218,11;218,54
128;64;32;16;8;32;8;2;2;8;1;0;1;1;222,24;222,3;222,27;222,29
128;64;32;16;8;32;8;2;2;8;1;1;0;0;281,24;286,3;286,19;286,34
128;64;32;16;8;32;8;2;2;8;1;1;0;1;270,49;271,83;271,49;271,72
128;64;32;16;8;32;8;2;2;8;1;1;1;0;230,94;230,53;231,74;231,97
128;64;32;16;8;32;8;2;2;8;1;1;1;1;222,27;222,28;222,21;222,3
128;64;32;16;8;32;8;2;4;1;0;0;0;0;392,71;393,95;393,99;393,95
128;64;32;16;8;32;8;2;4;1;0;0;0;1;225,93;222,98;223,06;223,12
128;64;32;16;8;32;8;2;4;1;0;0;1;0;262,9;263,46;263,23;264,57
128;64;32;16;8;32;8;2;4;1;0;0;1;1;273,68;273,76;273,74;273,77
128;64;32;16;8;32;8;2;4;1;0;1;0;0;405,44;406,54;407,18;407,31
128;64;32;16;8;32;8;2;4;1;0;1;0;1;289,58;285,84;285,71;285,95
128;64;32;16;8;32;8;2;4;1;0;1;1;0;281,4;282,44;281,67;281,61
128;64;32;16;8;32;8;2;4;1;0;1;1;1;218,06;218,01;217,87;217,91
128;64;32;16;8;32;8;2;4;1;1;0;0;0;388,11;389,05;389,37;389,2
128;64;32;16;8;32;8;2;4;1;1;0;0;1;219,02;216,14;215,79;216,27
128;64;32;16;8;32;8;2;4;1;1;0;1;0;273,2;273,84;273,68;273,68
128;64;32;16;8;32;8;2;4;1;1;0;1;1;209,94;209,86;209,81;209,81
128;64;32;16;8;32;8;2;4;1;1;1;0;0;405,03;405,2;405,19;405,67
128;64;32;16;8;32;8;2;4;1;1;1;0;1;284,17;280,45;280,61;280,62
128;64;32;16;8;32;8;2;4;1;1;1;1;0;276,42;276,94;276,9;277,19
128;64;32;16;8;32;8;2;4;1;1;1;1;1;219,86;219,83;219,78;219,74
128;64;32;16;8;32;8;2;4;2;0;0;0;0;299,7;302,2;302,48;301,95
128;64;32;16;8;32;8;2;4;2;0;0;0;1;258,44;260,04;260,09;259,93
128;64;32;16;8;32;8;2;4;2;0;0;1;0;292,17;293,82;291,06;291,2
128;64;32;16;8;32;8;2;4;2;0;0;1;1;264,25;264,44;264,33;264,35
128;64;32;16;8;32;8;2;4;2;0;1;0;0;307,33;308,22;308,24;308,36
128;64;32;16;8;32;8;2;4;2;0;1;0;1;317,31;299,75;299,52;299,61
128;64;32;16;8;32;8;2;4;2;0;1;1;0;293,46;290,81;293,78;291,02
128;64;32;16;8;32;8;2;4;2;0;1;1;1;243,97;244,04;244,02;244
128;64;32;16;8;32;8;2;4;2;1;0;0;0;298,48;300,29;299,92;300,16
128;64;32;16;8;32;8;2;4;2;1;0;0;1;255,99;255,59;255,7;255,42
128;64;32;16;8;32;8;2;4;2;1;0;1;0;288,12;290,85;287,9;290,85
128;64;32;16;8;32;8;2;4;2;1;0;1;1;252,92;252,97;253,05;253,03
128;64;32;16;8;32;8;2;4;2;1;1;0;0;305,41;305,66;305,34;305,51
128;64;32;16;8;32;8;2;4;2;1;1;0;1;314,61;298,65;298,43;298,56
128;64;32;16;8;32;8;2;4;2;1;1;1;0;302,74;310,5;308,83;310,83
128;64;32;16;8;32;8;2;4;2;1;1;1;1;238,61;238,59;238,61;238,62
128;64;32;16;8;32;8;2;4;4;0;0;0;0;345,85;349,41;349,9;349,31
128;64;32;16;8;32;8;2;4;4;0;0;0;1;219,64;221,78;221,52;221,5
128;64;32;16;8;32;8;2;4;4;0;0;1;0;191,22;191,33;191,01;190,94
128;64;32;16;8;32;8;2;4;4;0;0;1;1;288,21;288,17;288,11;288,13
128;64;32;16;8;32;8;2;4;4;0;1;0;0;347,31;350,9;350,86;351,08
128;64;32;16;8;32;8;2;4;4;0;1;0;1;217,16;221,2;220,99;221,02
128;64;32;16;8;32;8;2;4;4;0;1;1;0;198,92;198,88;196,71;198,85
128;64;32;16;8;32;8;2;4;4;0;1;1;1;280,93;280,99;280,91;280,94
128;64;32;16;8;32;8;2;4;4;1;0;0;0;345,8;348,72;348,66;349,14
128;64;32;16;8;32;8;2;4;4;1;0;0;1;217,46;218,57;218,65;218,96
128;64;32;16;8;32;8;2;4;4;1;0;1;0;194,19;196,19;194,43;196,19
128;64;32;16;8;32;8;2;4;4;1;0;1;1;288,59;288,58;288,55;288,57
128;64;32;16;8;32;8;2;4;4;1;1;0;0;345,58;348,93;348,89;348,67
128;64;32;16;8;32;8;2;4;4;1;1;0;1;217,16;220,32;220,49;220,44
128;64;32;16;8;32;8;2;4;4;1;1;1;0;191,99;191,54;193,53;192,22
128;64;32;16;8;32;8;2;4;4;1;1;1;1;269,82;269,83;269,83;269,84
128;64;32;16;8;32;8;2;4;8;0;0;0;0;361,75;357,42;357,16;357,69
128;64;32;16;8;32;8;2;4;8;0;0;0;1;228,03;225,23;225,52;225,31
128;64;32;16;8;32;8;2;4;8;0;0;1;0;216,11;218,25;218,28;218,86
128;64;32;16;8;32;8;2;4;8;0;0;1;1;190,73;190,87;190,91;190,86
128;64;32;16;8;32;8;2;4;8;0;1;0;0;362,11;357,31;357,45;357,45
128;64;32;16;8;32;8;2;4;8;0;1;0;1;228,18;225,04;225,52;225,14
128;64;32;16;8;32;8;2;4;8;0;1;1;0;230,89;234,36;233,55;233,26
128;64;32;16;8;32;8;2;4;8;0;1;1;1;190,8;190,87;190,83;190,8
128;64;32;16;8;32;8;2;4;8;1;0;0;0;345,27;343,17;342,29;342,27
128;64;32;16;8;32;8;2;4;8;1;0;0;1;225,3;224,1;224,36;223,93
128;64;32;16;8;32;8;2;4;8;1;0;1;0;217,74;220,13;219,21;217,5
128;64;32;16;8;32;8;2;4;8;1;0;1;1;189,81;189,84;189,87;189,78
128;64;32;16;8;32;8;2;4;8;1;1;0;0;345;343,02;342,73;342,12
128;64;32;16;8;32;8;2;4;8;1;1;0;1;226,18;224,09;224,26;224,21
128;64;32;16;8;32;8;2;4;8;1;1;1;0;243,93;247,09;245,84;244,59
128;64;32;16;8;32;8;2;4;8;1;1;1;1;189,87;189,85;189,8;189,85
128;64;32;16;8;32;8;8;1;1;0;0;0;0;262,22;261,13;260,79;261,05
128;64;32;16;8;32;8;8;1;1;0;0;0;1;199,13;206,02;206,85;206,83
128;64;32;16;8;32;8;8;1;1;0;0;1;0;222,2;222,16;220,52;221,39
128;64;32;16;8;32;8;8;1;1;0;0;1;1;205,91;205,91;206,09;205,85
128;64;32;16;8;32;8;8;1;1;0;1;0;0;268,1;266,9;266,81;266,78
128;64;32;16;8;32;8;8;1;1;0;1;0;1;159,13;158,86;158,83;159,03
128;64;32;16;8;32;8;8;1;1;0;1;1;0;223,67;225,22;225,17;225,22
128;64;32;16;8;32;8;8;1;1;0;1;1;1;163,74;163,5;163,26;163,64
128;64;32;16;8;32;8;8;1;1;1;0;0;0;266,92;266,81;267,35;266,25
128;64;32;16;8;32;8;8;1;1;1;0;0;1;176,81;182,17;182,43;182,41
128;64;32;16;8;32;8;8;1;1;1;0;1;0;233,85;232,92;231,04;229,86
128;64;32;16;8;32;8;8;1;1;1;0;1;1;221,46;221,42;221,52;221,52
128;64;32;16;8;32;8;8;1;1;1;1;0;0;270,61;269;269,74;270,01
128;64;32;16;8;32;8;8;1;1;1;1;0;1;148,51;146,71;146,76;146,21
128;64;32;16;8;32;8;8;1;1;1;1;1;0;231,15;229,76;234,56;232,46
128;64;32;16;8;32;8;8;1;1;1;1;1;1;144,24;143,97;144,69;145,53
128;64;32;16;8;32;8;8;1;2;0;0;0;0;272,04;271,16;271,58;271,31
128;64;32;16;8;32;8;8;1;2;0;0;0;1;181,6;183,92;182,34;183,65
128;64;32;16;8;32;8;8;1;2;0;0;1;0;258,55;256,05;256;256,77
128;64;32;16;8;32;8;8;1;2;0;0;1;1;239,89;240,02;239,98;239,85
128;64;32;16;8;32;8;8;1;2;0;1;0;0;277,28;276,71;276,92;276,76
128;64;32;16;8;32;8;8;1;2;0;1;0;1;174,01;174,86;175,19;174,66
128;64;32;16;8;32;8;8;1;2;0;1;1;0;259,6;264,02;261,58;261,25
128;64;32;16;8;32;8;8;1;2;0;1;1;1;213,13;213;212,93;212,96
128;64;32;16;8;32;8;8;1;2;1;0;0;0;276,16;275,96;275,98;275,93
128;64;32;16;8;32;8;8;1;2;1;0;0;1;168,68;168,77;168,8;168,88
128;64;32;16;8;32;8;8;1;2;1;0;1;0;245,15;245,35;245,2;245,35
128;64;32;16;8;32;8;8;1;2;1;0;1;1;219,81;219,87;219,92;219,84
128;64;32;16;8;32;8;8;1;2;1;1;0;0;283,78;282,71;282,7;282,86
128;64;32;16;8;32;8;8;1;2;1;1;0;1;155,06;154,84;153,68;153,49
128;64;32;16;8;32;8;8;1;2;1;1;1;0;243,28;244,14;244,02;244,05
128;64;32;16;8;32;8;8;1;2;1;1;1;1;191,41;191,13;191,62;191,69
128;64;32;16;8;32;8;8;1;4;0;0;0;0;301,18;301,24;301,41;301,53
128;64;32;16;8;32;8;8;1;4;0;0;0;1;197,71;205,78;206,19;203,21
128;64;32;16;8;32;8;8;1;4;0;0;1;0;227,47;228,1;228,22;228,2
128;64;32;16;8;32;8;8;1;4;0;0;1;1;191,42;191,39;191,63;190,94
128;64;32;16;8;32;8;8;1;4;0;1;0;0;303,39;303,09;304;303,49
128;64;32;16;8;32;8;8;1;4;0;1;0;1;197,59;204,93;202,45;203,91
128;64;32;16;8;32;8;8;1;4;0;1;1;0;224,24;222,57;226,46;226,9
128;64;32;16;8;32;8;8;1;4;0;1;1;1;185,11;184,84;184,63;185,14
128;64;32;16;8;32;8;8;1;4;1;0;0;0;297,22;295,9;296,25;296,19
128;64;32;16;8;32;8;8;1;4;1;0;0;1;178,64;182,2;181,76;182,41
128;64;32;16;8;32;8;8;1;4;1;0;1;0;276,38;274,78;274,85;276,86
128;64;32;16;8;32;8;8;1;4;1;0;1;1;207,34;207,91;208,04;207,94
128;64;32;16;8;32;8;8;1;4;1;1;0;0;300,74;300,21;300,25;300,57
128;64;32;16;8;32;8;8;1;4;1;1;0;1;178,59;181,45;180,45;180,81
128;64;32;16;8;32;8;8;1;4;1;1;1;0;276,92;277,57;278,29;279,11
128;64;32;16;8;32;8;8;1;4;1;1;1;1;205,32;204,89;205,12;205,01
128;64;32;16;8;32;8;8;1;8;0;0;0;0;246,6;248,12;247,76;248,03
128;64;32;16;8;32;8;8;1;8;0;0;0;1;166,51;166,8;167,29;166,9
128;64;32;16;8;32;8;8;1;8;0;0;1;0;234,63;236,79;239,06;237,55
128;64;32;16;8;32;8;8;1;8;0;0;1;1;198,77;199,62;199,2;198,9
128;64;32;16;8;32;8;8;1;8;0;1;0;0;246,71;248,57;247,9;247,69
128;64;32;16;8;32;8;8;1;8;0;1;0;1;166,61;166,76;166,61;166,68
128;64;32;16;8;32;8;8;1;8;0;1;1;0;232,13;233,46;235,23;235,06
128;64;32;16;8;32;8;8;1;8;0;1;1;1;198,89;199,35;198,61;199,02
128;64;32;16;8;32;8;8;1;8;1;0;0;0;246,92;247;247,71;247,14
128;64;32;16;8;32;8;8;1;8;1;0;0;1;148,7;149,28;148,96;149,38
128;64;32;16;8;32;8;8;1;8;1;0;1;0;215,64;215,56;217,25;215,88
128;64;32;16;8;32;8;8;1;8;1;0;1;1;209,21;209,56;210,09;209,81
128;64;32;16;8;32;8;8;1;8;1;1;0;0;246,45;247,41;247,61;247,35
128;64;32;16;8;32;8;8;1;8;1;1;0;1;148,76;149,43;149,17;148,96
128;64;32;16;8;32;8;8;1;8;1;1;1;0;214,65;215,82;214,34;214,42
128;64;32;16;8;32;8;8;1;8;1;1;1;1;210,02;209,99;210,12;209,86
128;64;32;16;8;32;8;8;2;1;0;0;0;0;279,93;278,46;278,4;278,77
128;64;32;16;8;32;8;8;2;1;0;0;0;1;178,27;177,39;177,28;177,3
128;64;32;16;8;32;8;8;2;1;0;0;1;0;222,92;220,84;221,77;224,62
128;64;32;16;8;32;8;8;2;1;0;0;1;1;264,74;265,61;265,41;265,08
128;64;32;16;8;32;8;8;2;1;0;1;0;0;287,84;286,52;286,23;287,22
128;64;32;16;8;32;8;8;2;1;0;1;0;1;188,88;187,56;188,34;187,21
128;64;32;16;8;32;8;8;2;1;0;1;1;0;224,12;220,65;220,36;225,24
128;64;32;16;8;32;8;8;2;1;0;1;1;1;193,4;193,25;193,36;192,72
128;64;32;16;8;32;8;8;2;1;1;0;0;0;278,87;278,14;278,11;278,2
128;64;32;16;8;32;8;8;2;1;1;0;0;1;172,71;171,46;171,42;171,92
128;64;32;16;8;32;8;8;2;1;1;0;1;0;211,17;212,33;212,71;211,45
128;64;32;16;8;32;8;8;2;1;1;0;1;1;254,61;254,9;254,95;254,87
128;64;32;16;8;32;8;8;2;1;1;1;0;0;288,01;286,07;286,4;286,93
128;64;32;16;8;32;8;8;2;1;1;1;0;1;182,38;181,16;181,14;181,63
128;64;32;16;8;32;8;8;2;1;1;1;1;0;215,95;217,41;217,29;217,33
128;64;32;16;8;32;8;8;2;1;1;1;1;1;164,11;165,54;166,08;165,81
128;64;32;16;8;32;8;8;2;2;0;0;0;0;292,34;291,91;291,61;291,74
128;64;32;16;8;32;8;8;2;2;0;0;0;1;193,19;192,68;192,85;192,83
128;64;32;16;8;32;8;8;2;2;0;0;1;0;236,73;240,04;236,55;236,23
128;64;32;16;8;32;8;8;2;2;0;0;1;1;217,34;217,16;217,2;217,14
128;64;32;16;8;32;8;8;2;2;0;1;0;0;297,97;297,25;297,04;296,62
128;64;32;16;8;32;8;8;2;2;0;1;0;1;178,06;178,56;178,39;178,53
128;64;32;16;8;32;8;8;2;2;0;1;1;0;236,72;238,45;238,1;237,56
128;64;32;16;8;32;8;8;2;2;0;1;1;1;225,03;226,26;225,16;225,13
128;64;32;16;8;32;8;8;2;2;1;0;0;0;292,39;291,9;292,06;291,61
128;64;32;16;8;32;8;8;2;2;1;0;0;1;189,4;189,67;189,83;189,49
